ST_CODE,PC_CODE,STATE,PC,NO,NAME,PARTY
S10,25,KARNATAKA,BANGALORE CENTRAL,2,P.C. MOHAN,Bharatiya Janata Party
S10,25,KARNATAKA,BANGALORE CENTRAL,3,R. MOHAN RAJU,Bahujan Samaj Party
S10,25,KARNATAKA,BANGALORE CENTRAL,4,RIZWAN ARSHAD,Indian National Congress
S10,25,KARNATAKA,BANGALORE CENTRAL,5,ISMAIL KHAN SAIF ALI,All India Trinamool Congress
S10,25,KARNATAKA,BANGALORE CENTRAL,6,ZAHEEDA  SHEREEN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S10,25,KARNATAKA,BANGALORE CENTRAL,7,V. BALAKRISHNAN,Aam Aadmi Party
S10,25,KARNATAKA,BANGALORE CENTRAL,8,BUDAYYA .B. PUJERI,Karunaadu Party
S10,25,KARNATAKA,BANGALORE CENTRAL,9,H.L. MANJUNATHA,Kannada Chalavali Vatal Paksha
S10,25,KARNATAKA,BANGALORE CENTRAL,10,KADUGUDI SONNAPPA,Republican Party of India (A)
S10,25,KARNATAKA,BANGALORE CENTRAL,11,AMBROSE D'MELLO,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,12,DHANANJAYA. H.H,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,13,G. NARAYANASWAMY (KAPALI),Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,14,B.K. NARAYANA-SWAMY,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,15,PRASHANTH.S.M,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,16,DR. MEER LAYAQ HUSSAIN,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,17,K.MURTHY,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,18,MODI SAIFULLA,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,19,BHOVI RAMA C.B.K,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,20,RAMANUJ SINGH,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,21,B.V.VENKATESHAPPA,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,22,SHAFI AHMED,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,23,E.SALAM,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,24,SEETHA RAMAN.E,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,25,SURAIYA ZAITHOON,Independent
S10,25,KARNATAKA,BANGALORE CENTRAL,26,SYED ASIF BUKHAARI,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,1,ANANTH KUMAR,Bharatiya Janata Party
S10,26,KARNATAKA,BANGALORE SOUTH,2,KHAN ABDUL RAZACK,Bahujan Samaj Party
S10,26,KARNATAKA,BANGALORE SOUTH,3,NANDAN NILEKANI,Indian National Congress
S10,26,KARNATAKA,BANGALORE SOUTH,4,RUTH MANORAMA,Janata Dal  (Secular)
S10,26,KARNATAKA,BANGALORE SOUTH,5,UMADEVI. M,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S10,26,KARNATAKA,BANGALORE SOUTH,6,R GAYATHRI,Pyramid Party of India
S10,26,KARNATAKA,BANGALORE SOUTH,7,NINA P NAYAK,Aam Aadmi Party
S10,26,KARNATAKA,BANGALORE SOUTH,8,MAHADEVA SWAMY. B. M,Bharatiya Dr. B.R.Ambedkar Janta Party
S10,26,KARNATAKA,BANGALORE SOUTH,9,RAVIKUMARA T,Samajwadi Party
S10,26,KARNATAKA,BANGALORE SOUTH,10,SHIVASHANKAR. G. R.,All India Forward Bloc
S10,26,KARNATAKA,BANGALORE SOUTH,11,SYED MEHABOOB,Janata Dal  (United)
S10,26,KARNATAKA,BANGALORE SOUTH,12,DR. KODUR VENKATESH,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,13,B. R. GOVINDAIAH,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,14,THULASAPPA DASAR,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,15,DR. PRADEEP GADUGESH,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,16,PRABHU,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,17,PRAMOD  MUTALIK,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,18,T. E. MOSES,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,19,YOGESH,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,20,G. VENKATESH BHOVI,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,21,SHAMBULINGEGOWDA,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,22,SYED RAFIQ AHMED,Independent
S10,26,KARNATAKA,BANGALORE SOUTH,23,N. HANUMEGOWDA,Independent
S10,27,KARNATAKA,CHIKBALLAPUR,1,H D KUMARA SWAMY,Janata Dal  (Secular)
S10,27,KARNATAKA,CHIKBALLAPUR,2,CHITRA PRASAD,Bahujan Samaj Party
S10,27,KARNATAKA,CHIKBALLAPUR,3,B N BACHE GOWDA,Bharatiya Janata Party
S10,27,KARNATAKA,CHIKBALLAPUR,4,M VEERAPPA MOILY,Indian National Congress
S10,27,KARNATAKA,CHIKBALLAPUR,5,G V SREERAMA REDDY,Communist Party of India  (Marxist)
S10,27,KARNATAKA,CHIKBALLAPUR,6,K ARKESH,Aam Aadmi Party
S10,27,KARNATAKA,CHIKBALLAPUR,7,YAKUB SHARIFF,Bahujan Mukti Party
S10,27,KARNATAKA,CHIKBALLAPUR,8,ROBIN MATHEWS NAREKATTU,Samajwadi Party
S10,27,KARNATAKA,CHIKBALLAPUR,9,H N RAMAKRISHNA REDDY,Pyramid Party of India
S10,27,KARNATAKA,CHIKBALLAPUR,10,REDDY G K C,Janata Dal  (United)
S10,27,KARNATAKA,CHIKBALLAPUR,11,G C VENKATARAMANAPPA,Republican Party of India (A)
S10,27,KARNATAKA,CHIKBALLAPUR,12,B N GOPALAGOWDA,Independent
S10,27,KARNATAKA,CHIKBALLAPUR,13,JAYAPRAKASHA YADAV,Independent
S10,27,KARNATAKA,CHIKBALLAPUR,14,D N NARASIMHAMURTHY,Independent
S10,27,KARNATAKA,CHIKBALLAPUR,15,NANJAPPA,Independent
S10,27,KARNATAKA,CHIKBALLAPUR,16,T V MANJUNATHA GOWDA,Independent
S10,27,KARNATAKA,CHIKBALLAPUR,17,G N RAVI,Independent
S10,27,KARNATAKA,CHIKBALLAPUR,18,VENKATESH D T,Independent
S10,27,KARNATAKA,CHIKBALLAPUR,19,K S SWAMY,Independent
S10,28,KARNATAKA,KOLAR,1,D.M.AMBAREESHA,Bahujan Samaj Party
S10,28,KARNATAKA,KOLAR,2,KOLAR KESAVA,Janata Dal  (Secular)
S10,28,KARNATAKA,KOLAR,3,EM.NARAYANASWAMY,Bharatiya Janata Party
S10,28,KARNATAKA,KOLAR,4,K.H.MUNIYAPPA,Indian National Congress
S10,28,KARNATAKA,KOLAR,5,KOTIGANAHALLI RAMAIAH,Aam Aadmi Party
S10,28,KARNATAKA,KOLAR,6,V.MUNISWAMY,Samajwadi Party
S10,28,KARNATAKA,KOLAR,7,R.RAVINDRA KUMAR,Bharatiya Dr. B.R.Ambedkar Janta Party
S10,28,KARNATAKA,KOLAR,8,H.V.ANJAPPA,Independent
S10,28,KARNATAKA,KOLAR,9,K.NARENDRABABU,Independent
S10,28,KARNATAKA,KOLAR,10,NARAYANASWAMY,Independent
S10,28,KARNATAKA,KOLAR,11,M.S.NARAYANASWAMY,Independent
S10,28,KARNATAKA,KOLAR,12,H.N.NARAYANASWAMY,Independent
S10,28,KARNATAKA,KOLAR,13,A.PRASAD,Independent
S10,28,KARNATAKA,KOLAR,14,K.H.MADHUSOODAN,Independent
S10,28,KARNATAKA,KOLAR,15,M.MUNIYAPPA,Independent
S10,28,KARNATAKA,KOLAR,16,DR.C.MOHAN,Independent
S10,28,KARNATAKA,KOLAR,17,VINAYAKA PRASAD.H.N,Independent
S10,28,KARNATAKA,KOLAR,18,B.V.VENKATAGIRIYAPPA,Independent
S10,28,KARNATAKA,KOLAR,19,N.VENKATESH,Independent
S10,28,KARNATAKA,KOLAR,20,G.N.VENKATESH,Independent
S10,28,KARNATAKA,KOLAR,21,BEEDA SRINIVAS N,Independent
S10,28,KARNATAKA,KOLAR,22,V.SRINIVASA,Independent
S11,1,KERALA,KASARAGOD,1,P KARUNAKARAN,Communist Party of India  (Marxist)
S11,1,KERALA,KASARAGOD,2,ADV. BASHEER ALADY,Bahujan Samaj Party
S11,1,KERALA,KASARAGOD,3,ADV. T SIDDIQUE,Indian National Congress
S11,1,KERALA,KASARAGOD,4,K SURENDRAN,Bharatiya Janata Party
S11,1,KERALA,KASARAGOD,5,ABDUL SALAM N U,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,1,KERALA,KASARAGOD,6,ABBAS MOTHALAPPARA,All India Trinamool Congress
S11,1,KERALA,KASARAGOD,7,AMBALATHARA KUNHIKRISHNAN,Aam Aadmi Party
S11,1,KERALA,KASARAGOD,8,ABOOBACKER SIDDIQ,Independent
S11,1,KERALA,KASARAGOD,9,K K ASHOKAN,Independent
S11,1,KERALA,KASARAGOD,10,GOTHRA MOOPAN NELLIKADAN KANNAN,Independent
S11,1,KERALA,KASARAGOD,11,KARUNAKARAN KALIPPURAYIL,Independent
S11,1,KERALA,KASARAGOD,12,KARUNAKARAN PAINGAPPADAN,Independent
S11,1,KERALA,KASARAGOD,13,MANOHARAN K,Independent
S11,1,KERALA,KASARAGOD,14,P K RAMAN,Independent
S11,2,KERALA,KANNUR,1,N ABDULLA DAVUD,Bahujan Samaj Party
S11,2,KERALA,KANNUR,2,P C MOHANAN MASTER,Bharatiya Janata Party
S11,2,KERALA,KANNUR,3,P K SREEMATHI TEACHER,Communist Party of India  (Marxist)
S11,2,KERALA,KANNUR,4,K SUDHAKARAN,Indian National Congress
S11,2,KERALA,KANNUR,5,P P ABOOBACKAR,Communist Party of India (Marxist-Leninist) Red Star
S11,2,KERALA,KANNUR,6,K K ABDUL JABBAR,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,2,KERALA,KANNUR,7,SASIDHARAN K V,Aam Aadmi Party
S11,2,KERALA,KANNUR,8,P P MOHANAN,Independent
S11,2,KERALA,KANNUR,9,SREEMATHI PUTHALATH,Independent
S11,2,KERALA,KANNUR,10,K SUDHAKARAN (KOLLON HOUSE),Independent
S11,2,KERALA,KANNUR,11,K SUDHAKARAN (SREESHYLAM),Independent
S11,3,KERALA,BADAGARA,1,MULLAPPALLY RAMACHANDRAN,Indian National Congress
S11,3,KERALA,BADAGARA,2,SASEENDRAN,Bahujan Samaj Party
S11,3,KERALA,BADAGARA,3,ADV.A.N.SHAMSEER,Communist Party of India  (Marxist)
S11,3,KERALA,BADAGARA,4,V.K.SAJEEVAN,Bharatiya Janata Party
S11,3,KERALA,BADAGARA,5,P.ABDUL HAMEED  MASTER,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,3,KERALA,BADAGARA,6,ALI AKBAR,Aam Aadmi Party
S11,3,KERALA,BADAGARA,7,A.M.SMITHA,Communist Party of India (Marxist-Leninist) Red Star
S11,3,KERALA,BADAGARA,8,ATTUVEPPIL KUNHIKKANNAN,Independent
S11,3,KERALA,BADAGARA,9,ADV.P.KUMARANKUTTY,Independent
S11,3,KERALA,BADAGARA,10,P.SHARAFUDEEN,Independent
S11,3,KERALA,BADAGARA,11,A.P.SHAMSEER,Independent
S11,4,KERALA,WAYANAD,1,P R RASMILNATH,Bharatiya Janata Party
S11,4,KERALA,WAYANAD,2,VAPPAN,Bahujan Samaj Party
S11,4,KERALA,WAYANAD,3,M I SHANAVAS,Indian National Congress
S11,4,KERALA,WAYANAD,4,SATHYAN MOKERI,Communist Party of India
S11,4,KERALA,WAYANAD,5,JALEEL NEELAMBRA,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,4,KERALA,WAYANAD,6,ADV. P P A SAGEER,Aam Aadmi Party
S11,4,KERALA,WAYANAD,7,SATHEESH CHANDRAN,All India Trinamool Congress
S11,4,KERALA,WAYANAD,8,SAM P MATHEW,Communist Party of India (Marxist-Leninist) Red Star
S11,4,KERALA,WAYANAD,9,RAMLA MAMPAD,Welfare Party Of India
S11,4,KERALA,WAYANAD,10,P V ANVAR,Independent
S11,4,KERALA,WAYANAD,11,ABRAHAM BENHUR,Independent
S11,4,KERALA,WAYANAD,12,CLEATUS,Independent
S11,4,KERALA,WAYANAD,13,SATHYAN THAZHEMANGAD,Independent
S11,4,KERALA,WAYANAD,14,SATHYAN PUTHANVEETTIL,Independent
S11,4,KERALA,WAYANAD,15,SINOJ A C,Independent
S11,5,KERALA,KOZHIKODE,1,C K.PADMANABHAN,Bharatiya Janata Party
S11,5,KERALA,KOZHIKODE,2,M .K RAGHAVAN,Indian National Congress
S11,5,KERALA,KOZHIKODE,3,A.VIJAYARAGHAVAN,Communist Party of India  (Marxist)
S11,5,KERALA,KOZHIKODE,4,VELAYUDHAN K.P.,Bahujan Samaj Party
S11,5,KERALA,KOZHIKODE,5,MUSTHAFA KOMMERI,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,5,KERALA,KOZHIKODE,6,K P RATHEESH,Aam Aadmi Party
S11,5,KERALA,KOZHIKODE,7,THRISSUR NAZEER,Independent
S11,5,KERALA,KOZHIKODE,8,ADV.N.P.PRATHAP KUMAR,Independent
S11,5,KERALA,KOZHIKODE,9,MUHAMMED RIYAS,Independent
S11,5,KERALA,KOZHIKODE,10,M RAGHAVAN,Independent
S11,5,KERALA,KOZHIKODE,11,V M RAGHAVAN,Independent
S11,5,KERALA,KOZHIKODE,12,M.VIJAYARAGHAVAN,Independent
S11,5,KERALA,KOZHIKODE,13,VIJAYARAGHAVAN.K.,Independent
S11,6,KERALA,MALAPPURAM,1,E. AHAMED,Indian Union Muslim League
S11,6,KERALA,MALAPPURAM,2,ILYAS,Bahujan Samaj Party
S11,6,KERALA,MALAPPURAM,3,ADV. N.SREEPRAKASH,Bharatiya Janata Party
S11,6,KERALA,MALAPPURAM,4,P.K.SAINABA,Communist Party of India  (Marxist)
S11,6,KERALA,MALAPPURAM,5,PROF. P.ISMAIL,Welfare Party Of India
S11,6,KERALA,MALAPPURAM,6,NASARUDHEEN,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,6,KERALA,MALAPPURAM,7,ANWAR SHAKEEL OMAR,Independent
S11,6,KERALA,MALAPPURAM,8,DR. M.V. IBRAHIM,Independent
S11,6,KERALA,MALAPPURAM,9,GOPINATHAN.N,Independent
S11,6,KERALA,MALAPPURAM,10,SREEDHARAN,Independent
S11,7,KERALA,PONNANI,1,T.AYYAPPAN,Bahujan Samaj Party
S11,7,KERALA,PONNANI,2,K.NARAYANAN MASTER,Bharatiya Janata Party
S11,7,KERALA,PONNANI,3,E. T. MOHAMMED BASHEER,Indian Union Muslim League
S11,7,KERALA,PONNANI,4,V.T.IKRAMUL HAQUE,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,7,KERALA,PONNANI,5,SHYLOCK P.V.,Aam Aadmi Party
S11,7,KERALA,PONNANI,6,ABULLAIS.T.P,Independent
S11,7,KERALA,PONNANI,7,ABDURAHMAN VADAKKATHINAKATH,Independent
S11,7,KERALA,PONNANI,8,ABDURAHIMAN VAYARAKATH,Independent
S11,7,KERALA,PONNANI,9,ABDURAHIMAN VARIKKOTTIL,Independent
S11,7,KERALA,PONNANI,10,V.ABDURAHMAN,Independent
S11,7,KERALA,PONNANI,11,BINDU M.K.,Independent
S11,8,KERALA,PALAKKAD,1,M B RAJESH,Communist Party of India  (Marxist)
S11,8,KERALA,PALAKKAD,2,SOBHASURENDRAN,Bharatiya Janata Party
S11,8,KERALA,PALAKKAD,3,HARI ARUMBIL,Bahujan Samaj Party
S11,8,KERALA,PALAKKAD,4,ABOOBAKKER SIDHIKH,All India Trinamool Congress
S11,8,KERALA,PALAKKAD,5,E S KHAJA HUSSAIN,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,8,KERALA,PALAKKAD,6,B PADMANABHAN,Aam Aadmi Party
S11,8,KERALA,PALAKKAD,7,RAJESH S,Shivsena
S11,8,KERALA,PALAKKAD,8,THENNILAPURAM RADHAKRISHNAN,Welfare Party Of India
S11,8,KERALA,PALAKKAD,9,M P VEERENDRAKUMAR,Socialist Janata (Democratic)
S11,8,KERALA,PALAKKAD,10,ABHIMOD,Independent
S11,8,KERALA,PALAKKAD,11,PRADEEP,Independent
S11,8,KERALA,PALAKKAD,12,C.K. RAMAKRISHNAN,Independent
S11,8,KERALA,PALAKKAD,13,VEERENDRAKUMAR O P,Independent
S11,8,KERALA,PALAKKAD,14,SREEJITH,Independent
S11,8,KERALA,PALAKKAD,15,V S  SHANAVAS,Independent
S11,9,KERALA,ALATHUR,1,PREMAKUMARI,Bahujan Samaj Party
S11,9,KERALA,ALATHUR,2,P.K.BIJU,Communist Party of India  (Marxist)
S11,9,KERALA,ALATHUR,3,SHAJU MON VATTEKKAD,Bharatiya Janata Party
S11,9,KERALA,ALATHUR,4,SHEEBA,Indian National Congress
S11,9,KERALA,ALATHUR,5,KRISHNAN ERANHIKKAL,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,9,KERALA,ALATHUR,6,ALBIN M U,Independent
S11,9,KERALA,ALATHUR,7,KRISHNANKUTTY V,Independent
S11,9,KERALA,ALATHUR,8,R BIJU,Independent
S11,9,KERALA,ALATHUR,9,A BIJU,Independent
S11,9,KERALA,ALATHUR,10,K BIJU,Independent
S11,9,KERALA,ALATHUR,11,VIJAYAN AMBALAKKAD,Independent
S11,9,KERALA,ALATHUR,12,K S VELAYUDHAN,Independent
S11,10,KERALA,THRISSUR,1,C. N. JAYADEVAN,Communist Party of India
S11,10,KERALA,THRISSUR,2,ADV. A. JAYARAM,Bahujan Samaj Party
S11,10,KERALA,THRISSUR,3,K. P. DHANAPALAN,Indian National Congress
S11,10,KERALA,THRISSUR,4,K.P. SREESAN,Bharatiya Janata Party
S11,10,KERALA,THRISSUR,5,HAJI MOIDEEN SHAH,Janata Dal  (United)
S11,10,KERALA,THRISSUR,6,K.SIVARAMAN,Communist Party of India (Marxist-Leninist) Red Star
S11,10,KERALA,THRISSUR,7,SARAH JOSEPH,Aam Aadmi Party
S11,10,KERALA,THRISSUR,8,SUFEERA K. P.,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,10,KERALA,THRISSUR,9,SOMAN PILLAI,Indian Gandhiyan Party
S11,10,KERALA,THRISSUR,10,JASMINSHA,Independent
S11,10,KERALA,THRISSUR,11,JIJU CHEENIKKAL,Independent
S11,10,KERALA,THRISSUR,12,M. NARAYANANKUTTY (M. N. KUTTY),Independent
S11,10,KERALA,THRISSUR,13,T. L. SANTHOSH,Independent
S11,10,KERALA,THRISSUR,14,MANIYANGATTIL SUKUMARAN,Independent
S11,11,KERALA,CHALAKUDY,1,ADV. B. GOPALAKRISHNAN,Bharatiya Janata Party
S11,11,KERALA,CHALAKUDY,2,P C CHACKO,Indian National Congress
S11,11,KERALA,CHALAKUDY,3,M G PURUSHOTHAMAN,Bahujan Samaj Party
S11,11,KERALA,CHALAKUDY,4,ANNAMMA JOY,All India Trinamool Congress
S11,11,KERALA,CHALAKUDY,5,K. AMBUJAKSHAN,Welfare Party Of India
S11,11,KERALA,CHALAKUDY,6,JAYAN KONIKARA,Communist Party of India (Marxist-Leninist) Red Star
S11,11,KERALA,CHALAKUDY,7,K M NOORDEEN,Aam Aadmi Party
S11,11,KERALA,CHALAKUDY,8,SHAFEER MUHAMMED,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,11,KERALA,CHALAKUDY,9,SAJI THURUTHIKUNNEL,Shivsena
S11,11,KERALA,CHALAKUDY,10,ABDUL KAREEM,Rashtriya Janata Dal
S11,11,KERALA,CHALAKUDY,11,INNOCENT,Independent
S11,11,KERALA,CHALAKUDY,12,JAISON PANIKULANGARA,Independent
S11,11,KERALA,CHALAKUDY,13,EDAPPALLY BASHEER,Independent
S11,11,KERALA,CHALAKUDY,14,T D BABURAJAN,Independent
S11,11,KERALA,CHALAKUDY,15,VINCENT,Independent
S11,12,KERALA,ERNAKULAM,1,K C KARTHIKEYAN,Bahujan Samaj Party
S11,12,KERALA,ERNAKULAM,2,PROF. K.V. THOMAS,Indian National Congress
S11,12,KERALA,ERNAKULAM,3,A.N. RADHAKRISHNAN,Bharatiya Janata Party
S11,12,KERALA,ERNAKULAM,4,ANITHA PRATAP,Aam Aadmi Party
S11,12,KERALA,ERNAKULAM,5,KRISHNANKUTTY M.K.,Communist Party of India (Marxist-Leninist) Red Star
S11,12,KERALA,ERNAKULAM,6,P.D. CHANDRABHANU,Socialist Republican Party
S11,12,KERALA,ERNAKULAM,7,DENSIL MENDEZ,Janata Dal  (United)
S11,12,KERALA,ERNAKULAM,8,ZULFIKAL ALI,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,12,KERALA,ERNAKULAM,9,ANIL KUMAR,Independent
S11,12,KERALA,ERNAKULAM,10,KISHORE,Independent
S11,12,KERALA,ERNAKULAM,11,CHRISTY FERNANDEZ,Independent
S11,12,KERALA,ERNAKULAM,12,JUNO JOHN BABY,Independent
S11,12,KERALA,ERNAKULAM,13,N J PIOUS,Independent
S11,12,KERALA,ERNAKULAM,14,K.V. BHASKARAN,Independent
S11,12,KERALA,ERNAKULAM,15,RAJANEESH BABU,Independent
S11,12,KERALA,ERNAKULAM,16,ADV. RADHAKRISHNAN P T,Independent
S11,13,KERALA,IDUKKI,1,ADV.DEAN KURIAKOSE,Indian National Congress
S11,13,KERALA,IDUKKI,2,APPANCHIRA PONNAPPAN,Bahujan Samaj Party
S11,13,KERALA,IDUKKI,3,ADV.SABU VARGHESE,Bharatiya Janata Party
S11,13,KERALA,IDUKKI,4,T.K.TOMY,Communist Party of India (Marxist-Leninist) Red Star
S11,13,KERALA,IDUKKI,5,MUHAMMED SHARAFUDHEEN,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,13,KERALA,IDUKKI,6,SILVI SUNIL,Aam Aadmi Party
S11,13,KERALA,IDUKKI,7,ANISH MARIYIL,Independent
S11,13,KERALA,IDUKKI,8,JAMES JOSEPH,Independent
S11,13,KERALA,IDUKKI,9,JOYCE GEORGE,Independent
S11,13,KERALA,IDUKKI,10,ADV.JOICE GEORGE,Independent
S11,13,KERALA,IDUKKI,11,JOICE GEORGE,Independent
S11,13,KERALA,IDUKKI,12,P.C.JOLLY,Independent
S11,13,KERALA,IDUKKI,13,BIJU JOSEPH,Independent
S11,13,KERALA,IDUKKI,14,ADV.CHITTOOR RAJAMANNAR,Independent
S11,13,KERALA,IDUKKI,15,SHOBY JOSEPH,Independent
S11,13,KERALA,IDUKKI,16,SOMINI PRABHAKARAN,Independent
S11,14,KERALA,KOTTAYAM,1,JOSE K. MANI,Kerala Congress  (M)
S11,14,KERALA,KOTTAYAM,2,ADV.MATHEW T. THOMAS,Janata Dal  (Secular)
S11,14,KERALA,KOTTAYAM,3,SREENI K. JACOB,Bahujan Samaj Party
S11,14,KERALA,KOTTAYAM,4,ADV.ANIL AIKKARA,Aam Aadmi Party
S11,14,KERALA,KOTTAYAM,5,N.K.BIJU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S11,14,KERALA,KOTTAYAM,6,SASIKKUTTAN VAKATHANAM,Communist Party of India (Marxist-Leninist) Red Star
S11,14,KERALA,KOTTAYAM,7,ROY ARACKAL,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,14,KERALA,KOTTAYAM,8,JAMES JOSEPH,Independent
S11,14,KERALA,KOTTAYAM,9,ADV.NOBLE MATHEW,Independent
S11,14,KERALA,KOTTAYAM,10,PRAVEEN K. MOHAN,Independent
S11,14,KERALA,KOTTAYAM,11,RATHEESH PERUMAL,Independent
S11,15,KERALA,ALAPPUZHA,1,C B CHANDRABABU,Communist Party of India  (Marxist)
S11,15,KERALA,ALAPPUZHA,2,P V NATESAN,Bahujan Samaj Party
S11,15,KERALA,ALAPPUZHA,3,K C VENUGOPAL,Indian National Congress
S11,15,KERALA,ALAPPUZHA,4,PROF.A.V.THAMARAKSHAN,Revolutionary Socialist Party of Kerala  (Bolshevik) RSP.B
S11,15,KERALA,ALAPPUZHA,5,THULASEEDHARAN PALLICKAL,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,15,KERALA,ALAPPUZHA,6,ADV.M.A.BINDU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S11,15,KERALA,ALAPPUZHA,7,D MOHANAN,Aam Aadmi Party
S11,15,KERALA,ALAPPUZHA,8,CHANDRABABU G,Independent
S11,15,KERALA,ALAPPUZHA,9,JAYACHANDRAN SARASAMMA,Independent
S11,15,KERALA,ALAPPUZHA,10,M M PAULOSE,Independent
S11,15,KERALA,ALAPPUZHA,11,S.B.BASHEER,Independent
S11,15,KERALA,ALAPPUZHA,12,T S BALAKRISHNAN,Independent
S11,15,KERALA,ALAPPUZHA,13,VENUGOPAL P C,Independent
S11,16,KERALA,MAVELIKARA,1,ADV.P.K.JAYAKRISHNAN,Bahujan Samaj Party
S11,16,KERALA,MAVELIKARA,2,ADV.P.SUDHEER,Bharatiya Janata Party
S11,16,KERALA,MAVELIKARA,3,CHENGARA SURENDRAN,Communist Party of India
S11,16,KERALA,MAVELIKARA,4,KODIKUNNIL SURESH,Indian National Congress
S11,16,KERALA,MAVELIKARA,5,JYOTHISH PERUMPULICKAL,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,16,KERALA,MAVELIKARA,6,SASIKALA K S,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S11,16,KERALA,MAVELIKARA,7,N SADANANDAN,Aam Aadmi Party
S11,16,KERALA,MAVELIKARA,8,PIRAVATHOOR SREEDHARAN,Independent
S11,16,KERALA,MAVELIKARA,9,PALLICKAL SURENDRAN,Independent
S11,17,KERALA,PATHANAMTHITTA,1,ANTO ANTONY,Indian National Congress
S11,17,KERALA,PATHANAMTHITTA,2,M T REMESH,Bharatiya Janata Party
S11,17,KERALA,PATHANAMTHITTA,3,SELEENA PRAKKANAM,Bahujan Samaj Party
S11,17,KERALA,PATHANAMTHITTA,4,ALEYAMMA VARGHESE,All India Trinamool Congress
S11,17,KERALA,PATHANAMTHITTA,5,MANSOOR THENGANA,SOCIAL DEMOCRATIC PARTY OF INDIA
S11,17,KERALA,PATHANAMTHITTA,6,S RADHAMANI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S11,17,KERALA,PATHANAMTHITTA,7,SABUKUTTY JOY (SABU PUTHUCHIRA),Social Action Party
S11,17,KERALA,PATHANAMTHITTA,8,AJITH KUMAR K. K,Independent
S11,17,KERALA,PATHANAMTHITTA,9,PEELIPOSE,Independent
S11,17,KERALA,PATHANAMTHITTA,10,ADV. PEELIPOSE THOMAS,Independent
S11,17,KERALA,PATHANAMTHITTA,11,PUSHPANGATHAN,Independent
S11,17,KERALA,PATHANAMTHITTA,12,MATHEW PAREY,Independent
S11,17,KERALA,PATHANAMTHITTA,13,S RADHAKRISHNAN,Independent
S11,17,KERALA,PATHANAMTHITTA,14,LALITHA MALAYALAPPUZHA,Independent
S11,17,KERALA,PATHANAMTHITTA,15,SHILVIN KOTTACKAKATHU,Independent
S11,17,KERALA,PATHANAMTHITTA,16,SANTHOSH KUMAR,Independent
S11,18,KERALA,KOLLAM,1,ADV.S.PRAHLADAN,Bahujan Samaj Party
S11,18,KERALA,KOLLAM,2,M.A. BABY,Communist Party of India  (Marxist)
S11,18,KERALA,KOLLAM,3,P.M. VELAYUDHAN,Bharatiya Janata Party
S11,18,KERALA,KOLLAM,4,N.K.PREMACHANDRAN,Revolutionary Socialist Party
S11,18,KERALA,KOLLAM,5,A.K.SALAHUDEEN,SOCIAL DEMOCRATIC PARTY OF INDIA
